review_text,label,type
We had a wonderful Saturday night dinner.,1,4
They had a fire dancer by the beach and a music band all night.,1,3
The seafood grill was good and their buttered seafood appetizers were delicious.,1,1
"The grilled lamb was very chewy and not edible, so I would avoid it if possible.",0,1
the service was good for a packed restaurant,1,2
food tasted good.,1,1
Overall the atmosphere was great,1,3
the spicy and very diverse menu actually rocks,1,1
Service was brilliant,1,2
We had around 15 pax for dinner which we had to reserve 2 days in advance cause they are so busy.,0,2
They allowed us to bring our cake since we were celebrating and also hard liquor free of charge.,1,2
They only sell wine and beer.,0,2
There was a fire dancer who performed and we generally gave him some cash.,1,3
They set up a table on the beach specially for us.,1,1
Staff was friendly and accommodating.,1,2
A nice bar and dining space in Colombo.,1,3
We can park vehicles in the roadside.,1,3
Foods are really tasty.,1,1
"I would like to recommend the soft beverages here, apple juice and lime juice are the best.",1,1
"At night, there sing gentle songs.",1,3
They had arranged a special evening which included an entrance fee as well.,1,2
The restaurant ambiance was good.,1,3
Our orders came without any delay.,1,2
But food was not seasoned well and not spicy at all.,0,1
No enough salt and pepper.,0,1
Nice place decorated by the natural assets.,1,3
The sea view and the location is Fantastic for mind peace.,1,3
Best place for romantic candle light dinners with your loved one.,1,3
"So many varieties of starters, Noodles, drinks and rice.",1,1
Liquor also available here.,1,1
"Taste is so good, for the taste and the quality of the food price can be reasonable.",1,1
We dropped in for a quick drink and Dirty martini was on point.,1,1
Tequila sunrise had too much of syrup in it and tasted almost like cordial.,0,1
"Hot butter prawns were fresh, well prepared, juicey and crunchy at the same time, well deserved 10/10.",1,1
Great ambience.,1,3
"Sea breeze, nicely lit,  good music and everything needed for a perfect evening.",1,3
Prior reservation is recommended if you'd like a table right on the beach.,1,3
The garden area with Pandan trees has a nice private feel to it.,1,3
Actually its a Good place for Dinner out.,1,3
The dishes are delicious and tasty.,1,1
No doubts on the taste.,1,1
And customer handling is high.,1,2
Much recommend place.,1,4
Nice spot for dinner on the beach.,1,3
"We had black pepper crab, grilled king prawns, and a seafood hotpot.",1,1
the prawns were not as big as one might expect.,0,1
Crab was excellent,1,1
Bottled water is expensive though!,0,1
It's a perfect place for a spend your friday night with your gang also it's a good place for date night with a breathtaking sea view.,1,3
In weekend and friday night specifically you can enjoy live music and dance with tiquila,1,3
All the foods are so delicious and i love their cocktails.,1,1
"Beautiful ambiance, right by the ocean.",1,3
Waitstaff was attentive and helpful.,1,2
"Beachside seating limited, so we ended up sitting in a more enclosed outdoor area.",0,3
the live music really tied everything together,1,3
Food was tasty,1,1
The food is delicious,1,1
Gives good music,1,3
Very interesting place,1,3
has rapidly emerged as one of the foremost beachside restaurants in the popular Dehiwala-Mount Lavinia Beach.,1,3
"Most evenings will find the restaurant at full capacity, frequented by tourists and locals alike who know Barracuda for our reputation of great service, beachside views, and international cuisines.",1,4
friendly service from staff.,1,2
Delicious foods,1,1
"Recommended for evening parties, day outs and also to celebrate your special occasions.",1,4
Great place to have some delicious food.,1,1
"If you are looking for a drink, there's a pub at your service.",1,1
You can have a nice candle lit dinner near the beach.,1,3
Went for two pasta dishes and they were really delicious.,1,1
Food is above average but not so great.,0,1
My friend wanted to go here but I did not like the atmosphere because all the customers were drunk.,0,3
