review_text,label
"We had a wonderful Saturday night dinner. They had a fire dancer by the beach and a music band all night. The seafood grill was good and their buttered seafood appetizers were delicious. The grilled lamb was very chewy and not edible, so I would avoid it if possible. Overall the atmosphere was great, the service was good for a packed restaurant and food tasted good.",1
Service was brilliant and the spicy and very diverse menu actually rocks!! We had around 15 pax for dinner which we had to reserve 2 days in advance cause they are so busy. They allowed us to bring our cake since we were celebrating and also hard liquor free of charge. They only sell wine and beer. There was a fire dancer who performed and we generally gave him some cash. They set up a table on the beach specially for us. Staff was friendly and accommodating.,1
"A nice bar and dining space in Colombo. We can park vehicles 🚗 in the roadside. You need to be careful when you cross the railroad 🛤, because it is difficult to recognize approaching trains. Foods are really tasty 😋. I would like to recommend the soft beverages here, apple 🍏 juice and lime juice are the best. At night, there sing 🎵 gentle songs.",0
"We went there on 31st December 2021. They had arranged a special evening which included an entrance fee as well.
The restaurant ambiance was good. Our orders came without any delay.
But food was not seasoned well and not spicy at all. No enough salt and pepper. Other than that we had a good time.",1
"Nice place decorated by the natural assets. The sea view and the location is Fantastic for mind peace. Best place for romantic candle 🕯 light dinners with your loved one. So many varieties of starters, Noodles, drinks and rice. Liquor also available here. Taste is so good, for the taste and the quality of the food price can be reasonable.",1
"We dropped in for a quick drink. Dirty martini was on point.  Tequila sunrise had too much of syrup in it and tasted almost like cordial. Hot butter prawns were fresh, well prepared, juicey and crunchy at the same time, well deserved 10/10. Great ambience. Sea breeze, nicely lit,  good music and everything needed for a perfect evening. Prior reservation is recommended if you'd like a table right on the beach. The garden area with Pandan trees has a nice private feel to it.",1
"Actually its a Good place for Dinner out. The dishes are delicious and tasty. No doubts on the taste. And customer handling is high.

Note : Better call them and reserve a table for your time. (Mostly it will full around 9pm)

Much recommend place.",1
"Nice spot for dinner on the beach. We had black pepper crab, grilled king prawns, and a seafood hotpot. Crab was excellent, though the prawns were not as big as one might expect. Bottled water is expensive though!",1
"It's a perfect place for a spend your friday night with your gang also it's a good place for date night with a breathtaking sea view.

In weekend and friday night specifically you can enjoy live music and dance with tiquila
All the foods are so delicious and i love their cocktails.",1
"Beautiful ambiance, right by the ocean. Waitstaff was attentive and helpful. Beachside seating limited, so we ended up sitting in a more enclosed outdoor area. Food was tasty and the live music really tied everything together",1
Went to this place to celebrate my husband's birthday .. The food is delicious .. Gives good music .. Very interesting place,1
"Established in 2013, Barracuda Seafood and Grill has rapidly emerged as one of the foremost beachside restaurants in the popular Dehiwala-Mount Lavinia Beach. Most evenings will find the restaurant at full capacity, frequented by tourists and locals alike who know Barracuda for our reputation of great service, beachside views, and international cuisines. Delicious foods and friendly service from staff. Recommended for evening parties, day outs and also to celebrate your special occasions.",1
"Great place to have some delicious food. If you are looking for a drink, there's a pub at your service. This is located in marine drive between the railway and the beach. You can have a nice candle lit dinner near the beach. Went for two  pasta dishes and they were really delicious.",1
