review_text,type
We had a wonderful Saturday night dinner.,4
They had a fire dancer by the beach and a music band all night.,3
The seafood grill was good and their buttered seafood appetizers were delicious.,1
"The grilled lamb was very chewy and not edible, so I would avoid it if possible.",1
the service was good for a packed restaurant,2
food tasted good.,1
Overall the atmosphere was great,3
the spicy and very diverse menu actually rocks,1
Service was brilliant,2
We had around 15 pax for dinner which we had to reserve 2 days in advance cause they are so busy.,2
They allowed us to bring our cake since we were celebrating and also hard liquor free of charge.,2
They only sell wine and beer.,2
There was a fire dancer who performed and we generally gave him some cash.,3
They set up a table on the beach specially for us.,1
Staff was friendly and accommodating.,2
A nice bar and dining space in Colombo.,3
We can park vehicles in the roadside.,3
Foods are really tasty.,1
"I would like to recommend the soft beverages here, apple juice and lime juice are the best.",1
"At night, there sing gentle songs.",3
They had arranged a special evening which included an entrance fee as well.,2
The restaurant ambiance was good.,3
Our orders came without any delay.,2
But food was not seasoned well and not spicy at all.,1
No enough salt and pepper.,1
Nice place decorated by the natural assets.,3
The sea view and the location is Fantastic for mind peace.,3
Best place for romantic candle light dinners with your loved one.,3
"So many varieties of starters, Noodles, drinks and rice.",1
Liquor also available here.,1
"Taste is so good, for the taste and the quality of the food price can be reasonable.",1
We dropped in for a quick drink and Dirty martini was on point.,1
Tequila sunrise had too much of syrup in it and tasted almost like cordial.,1
"Hot butter prawns were fresh, well prepared, juicey and crunchy at the same time, well deserved 10/10.",1
Great ambience.,3
"Sea breeze, nicely lit,  good music and everything needed for a perfect evening.",3
Prior reservation is recommended if you'd like a table right on the beach.,3
The garden area with Pandan trees has a nice private feel to it.,3
Actually its a Good place for Dinner out.,3
The dishes are delicious and tasty.,1
No doubts on the taste.,1
And customer handling is high.,2
Much recommend place.,4
Nice spot for dinner on the beach.,3
"We had black pepper crab, grilled king prawns, and a seafood hotpot.",1
the prawns were not as big as one might expect.,1
Crab was excellent,1
Bottled water is expensive though!,1
It's a perfect place for a spend your friday night with your gang also it's a good place for date night with a breathtaking sea view.,3
